nuts2,code,country,diff_1415,diff_1516,diff_1617
BE10,BE,Belgium,1400.0,1100.0,800.0
BE21,BE,Belgium,1100.0,1400.0,1800.0
BE22,BE,Belgium,200.0,800.0,1200.0
BE23,BE,Belgium,1100.0,1000.0,1100.0
BE24,BE,Belgium,900.0,1300.0,800.0
BE25,BE,Belgium,500.0,1200.0,1300.0
BE31,BE,Belgium,1600.0,1100.0,1300.0
BE32,BE,Belgium,400.0,500.0,800.0
BE33,BE,Belgium,300.0,700.0,1000.0
BE34,BE,Belgium,500.0,400.0,600.0
BE35,BE,Belgium,200.0,700.0,500.0
BG31,BG,Bulgaria,100.0,200.0,500.0
BG32,BG,Bulgaria,100.0,300.0,300.0
BG33,BG,Bulgaria,200.0,200.0,400.0
BG34,BG,Bulgaria,200.0,700.0,500.0
BG41,BG,Bulgaria,700.0,700.0,800.0
BG42,BG,Bulgaria,500.0,200.0,400.0
CZ01,CZ,Czechia,3300.0,1300.0,3000.0
CZ02,CZ,Czechia,700.0,1100.0,1400.0
CZ03,CZ,Czechia,700.0,600.0,1100.0
CZ04,CZ,Czechia,800.0,100.0,900.0
CZ05,CZ,Czechia,800.0,800.0,1300.0
CZ06,CZ,Czechia,900.0,500.0,1000.0
CZ07,CZ,Czechia,600.0,600.0,1200.0
CZ08,CZ,Czechia,800.0,600.0,1000.0
DK01,DK,Denmark,2500.0,1400.0,2000.0
DK02,DK,Denmark,1800.0,400.0,900.0
DK03,DK,Denmark,700.0,800.0,1000.0
DK04,DK,Denmark,100.0,2200.0,1300.0
DK05,DK,Denmark,1100.0,1300.0,1700.0
DE11,DE,Germany,2600.0,600.0,1300.0
DE12,DE,Germany,1500.0,900.0,1200.0
DE13,DE,Germany,900.0,700.0,1100.0
DE14,DE,Germany,1400.0,1700.0,1200.0
DE21,DE,Germany,2000.0,1200.0,1800.0
DE22,DE,Germany,600.0,1000.0,1500.0
DE23,DE,Germany,1000.0,800.0,1600.0
DE24,DE,Germany,1800.0,900.0,1400.0
DE25,DE,Germany,1300.0,1200.0,1500.0
DE26,DE,Germany,800.0,1500.0,1600.0
DE27,DE,Germany,1000.0,900.0,1400.0
DE30,DE,Germany,1400.0,1100.0,1200.0
DE40,DE,Germany,500.0,500.0,800.0
DE50,DE,Germany,1200.0,900.0,2000.0
DE60,DE,Germany,2400.0,700.0,1800.0
DE71,DE,Germany,500.0,1100.0,1400.0
DE72,DE,Germany,600.0,800.0,1100.0
DE73,DE,Germany,1100.0,1400.0,1200.0
DE80,DE,Germany,500.0,300.0,1200.0
DE91,DE,Germany,-1600.0,6800.0,1700.0
DE92,DE,Germany,500.0,1500.0,1300.0
DE93,DE,Germany,600.0,300.0,1200.0
DE94,DE,Germany,1000.0,1000.0,1400.0
DEA1,DE,Germany,700.0,600.0,1300.0
DEA2,DE,Germany,1500.0,1000.0,1100.0
DEA3,DE,Germany,600.0,800.0,1100.0
DEA4,DE,Germany,400.0,1200.0,1300.0
DEA5,DE,Germany,500.0,900.0,1200.0
DEB1,DE,Germany,900.0,800.0,1300.0
DEB2,DE,Germany,700.0,600.0,1300.0
DEB3,DE,Germany,1400.0,600.0,1300.0
DEC0,DE,Germany,800.0,0.0,1000.0
DED2,DE,Germany,1600.0,800.0,900.0
DED4,DE,Germany,800.0,1300.0,900.0
DED5,DE,Germany,500.0,1000.0,600.0
DEE0,DE,Germany,600.0,700.0,900.0
DEF0,DE,Germany,500.0,900.0,1000.0
DEG0,DE,Germany,800.0,800.0,1100.0
EE00,EE,Estonia,500.0,800.0,1500.0
IE04,IE,Ireland,2200.0,-700.0,1700.0
IE05,IE,Ireland,32700.0,-1100.0,4500.0
IE06,IE,Ireland,5200.0,4400.0,3900.0
EL51,EL,Greece,0.0,100.0,100.0
EL52,EL,Greece,200.0,200.0,400.0
